,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,9,9,9,9,10,10,10,10,11,11,11,11,12,12,12,12
,buffer,PFK-1,ATP,ADP,buffer,PFK-1,ATP,ADP,buffer,PFK-1,ATP,ADP,buffer,PFK-1,ATP,ADP,buffer,PFK-1,ATP,ADP,buffer,PFK-1,ATP,ADP,buffer,PFK-1,ATP,ADP,buffer,PFK-1,ATP,ADP,buffer,PFK-1,ATP,ADP,buffer,PFK-1,ATP,ADP,buffer,PFK-1,ATP,ADP,buffer,PFK-1,ATP,ADP
A,9.77929194585704,20.0,16.00739308938069,14.213314964762265,26.8567254161582,20.0,10.519989306638916,2.623285277202885,22.76035174484673,20.0,13.744997372710635,3.4946508824426363,15.797328878410248,20.0,13.020811940043384,11.181859181546363,21.718100021537182,20.0,1.666269911091294,16.615630067371523,4.862143362297374,20.0,19.249992876355876,15.887863761346747,26.6775413798796,20.0,6.258050254471778,7.064408365648621,9.354902011740975,20.0,13.711207996267369,16.933889991991656,18.495485315933394,20.0,17.199108427484077,4.3054062565825255,18.79111324868893,20.0,7.489573466048492,13.71931328526258,28.92555921788842,20.0,3.7104413474092106,7.36399943470237,7.420688719677607,20.0,15.199852315215214,17.379458965107183
B,13.208391629912782,20.0,10.711344222013416,16.080264148073802,15.542302894161281,20.0,14.639811533064481,9.817885572774234,10.344305032186945,20.0,17.694082394624907,11.961612573188148,37.29576763984313,20.0,0.05492303542817601,2.6493093247286974,23.700501935969825,20.0,11.778590623509666,4.520907440520511,13.08195032834157,20.0,14.873421730719151,12.044627940939277,24.594046954946037,20.0,6.835692635620275,8.570260409433686,21.90674590304929,20.0,3.2757870903503243,14.817467006600385,33.36261031474501,20.0,4.080077046332034,2.5573126389229532,17.26568138917206,20.0,8.872735901133167,13.86158270969477,17.96434507842514,20.0,12.029283465061965,10.006371456512897,5.958898635580979,20.0,14.178160214886717,19.862941149532304
C,24.75725920172654,20.0,5.038690915506666,10.204049882766789,5.413208938556998,20.0,15.026564458187101,19.5602266032559,15.357127146657177,20.0,6.110672940091756,18.53219991325107,6.201671240479904,20.0,15.445859484470603,18.352469275049494,36.41329388732552,20.0,0.4766111104733196,3.110095002201157,15.725828823934876,20.0,17.79204200371346,6.482129172351664,17.696720661606236,20.0,19.387395625074728,2.9158837133190323,21.29086912191758,20.0,0.14497245771864845,18.56415842036377,31.649359584783006,20.0,0.85569068421129,7.494949731005706,21.809706422411182,20.0,4.179911989345312,14.010381588243506,14.262583211812668,20.0,13.614695207181384,12.122721581005948,8.149667925741127,20.0,15.183071954569932,16.667260119688944
D,29.576386275174208,20.0,1.5343255637262045,8.889288161099584,35.41310314888275,20.0,3.8783603567703198,0.708536494346932,17.82086202122325,20.0,8.579775073242399,13.599362905534349,36.931963171234415,20.0,0.5302101184612008,2.5378267103043854,23.040398413395316,20.0,6.5839543069297255,10.375647279674958,18.38623490463433,20.0,19.381458382602478,2.232306712763195,17.37181949698961,20.0,9.409910165655795,13.218270337354594,27.927375906645338,20.0,10.043517801134946,2.0291062922197183,27.09813186493247,20.0,0.46294717856749884,12.438920956500032,18.636792125569997,20.0,13.197978584686794,8.165229289743213,17.187526259125413,20.0,8.554069616077406,14.25840412479718,9.030744388331797,20.0,11.531564674450847,19.437690937217354
E,27.252287841265378,20.0,4.554621979945329,8.19309017878929,27.921816124613038,20.0,3.938159726624735,8.140024148762226,27.151923798486678,20.0,4.501723506541496,8.346352694971829,28.43988534794334,20.0,4.119683777111471,7.440430874945189,25.969391135259087,20.0,5.223136743572661,8.807472121168257,26.114477866834562,20.0,4.86212557796798,9.023396555197454,28.344814736009706,20.0,3.949113228388797,7.706072035601497,28.257523924290705,20.0,3.9990790671203476,7.743397008588946,27.010226016846985,20.0,5.1140586282943605,7.875715354858652,26.080538080771724,20.0,4.142194606377102,9.777267312851173,25.147551775339586,20.0,4.090542458291294,10.761905766369118,25.946063756836324,20.0,3.7359886941330678,10.31794754903061
F,27.381420859545045,20.0,3.6054502472164884,9.013128893238463,25.847154909527738,20.0,3.965715139351044,10.187129951121218,28.280331049308927,20.0,4.73753034846197,6.982138602229103,29.29475994781012,20.0,4.095760394385364,6.609479657804512,25.073548936055204,20.0,3.6849153238427435,11.241535740102055,26.84274484883081,20.0,4.064018673134303,9.093236478034887,26.00918175333814,20.0,5.660131567677226,8.330686678984637,28.677296314734456,20.0,4.342837399028621,6.979866286236923,29.931648190018922,20.0,3.552653663250881,6.515698146730198,0.2517851194652394,20.0,19.86544189138793,19.882772989146826,0.07615039858291794,20.0,19.923849601417082,20.0,0.6489496762676623,20.0,19.351050323732338,20.0
G,24.41528206538497,20.0,4.075254783154753,11.509463151460274,0.3621737389454438,20.0,19.637826261054553,20.0,29.409254120148745,20.0,3.775293160121631,6.815452719729623,29.15639854038951,20.0,4.723891096665876,6.119710362944611,30.165508557410305,20.0,4.018023267594899,5.816468174994798,29.533758260337,20.0,4.346178486478837,6.120063253184163,28.08898018497046,20.0,5.206679038962728,6.704340776066813,30.652139938073862,20.0,3.5105759175593705,5.837284144366766,25.227453668817795,20.0,5.67657574264592,9.095970588536288,30.14748057179508,20.0,3.7512486382092813,6.101270789995636,24.950095325496285,20.0,3.9158821878394736,11.134022486664241,24.402036962465274,20.0,3.594048449349219,12.003914588185507
H,24.47263892545876,20.0,3.7899680237172784,11.73739305082396,25.0125986261705,20.0,3.2225004838217446,11.764900890007757,26.68072733353081,20.0,3.715968553298996,9.603304113170193,28.993328549897534,20.0,5.269357727969268,5.737313722133198,29.719510865704905,20.0,4.826698090524572,5.453791043770523,29.091888469229914,20.0,5.023074588641679,5.88503694212841,29.38821739931126,20.0,5.622753060563557,4.989029540125184,28.928136621376805,20.0,6.597040481002119,4.474822897621077,28.652784143048976,20.0,6.333448820336928,5.0137670366141,29.306402256535506,20.0,6.190482471945254,4.503115271519242,29.022969097717606,20.0,6.034185358053227,4.942845544229164,28.89155663641047,20.0,6.405010806431459,4.703432557158068
