,1,2,3,4,5,6,7,8,9,10,11,12
A,2571.9278647788838,2603.0741600066267,2649.291181732449,2602.842604208604,2666.3686850466356,2654.719302733285,2631.9094862683282,2681.1675399226187,2582.8218870068313,2553.7933121602546,2608.452284827167,2602.634784942847
B,2642.743909487784,2590.892064095582,2601.2487738455366,2660.6291797569515,2610.155538454099,2617.0390708080135,2588.9299504266482,2641.4496895800107,2603.5290791819557,2614.4532819998203,2664.962062093221,2618.438046271182
C,2570.236070100044,2613.246708299061,2580.623499066498,2589.4802146844404,2650.748407109433,2581.0181874349,2639.2183017504926,2634.2507920571047,2615.277817943597,2599.75373565657,2558.506312057971,2579.8294332797514
D,2569.2676382296095,2600.876871962059,2598.0855633272536,2670.5614951122393,2613.6507535470323,2565.384306534287,2658.3028138022228,2637.754714683584,2650.3007607091995,2643.759984550847,2656.355022320764,2578.1477940611085
E,2597.3766691940455,2606.327133280939,2613.7419146193633,2608.445056055918,2552.002774512131,2673.979751531456,2603.465127397598,2647.40463265809,2639.4530040966765,2645.625352465685,2584.6942101363443,2604.678691724429
F,2603.3795124233075,2638.3664234542284,2684.720761750279,2611.3873882917574,2615.690706558359,2616.9309520135203,2608.594855209804,2642.040336668737,2621.318087208419,2610.9902806769483,2614.087491107479,2630.164299362483
G,2682.3034097134478,2609.4876148333224,2622.128254408251,2631.899785068885,2610.4959208195473,2618.8503677286008,2629.282234424184,2636.5921413499673,2633.7283109574187,2624.74338107538,2580.5029347833197,2609.352023637952
H,2606.561344870322,2640.8210530431115,2615.214394341547,2625.671822979346,2617.5336363079086,2592.9603770681547,2590.213914257151,2606.2748907041578,2631.9494018753085,2571.201476182491,2621.101067349219,2611.2575962339383
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,2664.6023614665005,2655.722780711608,2600.731143516399,2657.8905238132566,2597.2236093865795,2633.2134816061125,2673.0496984674674,2639.8453418885283,2642.607967669397,2610.3764184764786,2610.731728633657,2612.5193332438575
B,2583.0600200452272,2546.9555292458826,2620.2109523771014,2602.9295769566,2635.4469842469935,2632.647327307628,2617.4439262244937,2576.9407764562075,2627.2073544095833,2627.4477596624583,2645.2553138602025,2637.3637112813512
C,2670.0948682001736,2635.580832434807,2628.001048314353,2583.997316774352,2588.201860991465,2600.5191226691727,2579.3541970935307,2616.6697687332767,2651.8093235253873,2563.0847496970728,2629.812472764236,2620.4081446451855
D,2582.5009401766692,2568.03389128763,2619.4061507227434,2627.3824861150524,2638.2655825488937,2603.3034389787285,2540.1792967793544,2648.696720238763,2616.5466994955264,2579.0081789927253,2571.761408571326,2589.029153840759
E,2611.3551359244493,2637.5757203577778,2666.7477503638193,2583.5491539788854,2662.642509833953,2621.2538258501313,2604.1164552105665,2583.873279776346,2628.9696187239365,2609.6170280097263,2590.262597460779,2590.8901602352876
F,2658.691328069867,2647.660545300483,2619.64895591424,2609.162751299803,2620.3196025607194,2583.9419537962012,2599.347022258542,2609.2436474132487,2599.2744017015348,2645.519261335292,2606.571675272197,2628.7299263803034
G,2633.7810864675857,2618.608556908608,2637.4065845324762,2590.8996847512353,2641.2321164735285,2626.978651714924,2613.6196706061937,2621.5383204066247,2572.3580663973476,2617.244674607819,2601.0941102408888,2652.4304865072486
H,2643.583976009231,2560.8213768935684,2556.0760697362102,2608.5278463439986,2609.778267826257,2631.095664596753,2566.71209034842,2609.5386781554053,2619.2605914076125,2621.2333422304887,2592.293187718851,2580.686001097256
